,Location,Minute Delay
444,CARLTON AND SHERBOURNE,10.0
445,BINGHAM LOOP,20.0
446,QUEEN AND JARVIS,12.0
447,EXHIBITION EAST LOOP,16.0
448,DUNDAS WEST STATION,16.0
449,SPADINA LOOP,10.0
450,SPADINA STATION,10.0
451,FLEET LOOP,12.0
452,DUNDAS WEST STATION,12.0
453,EDNA AND DUNDAS,14.0
454,DUNDAS AND BLOOR,14.0
455,BATHURST STATION,12.0
456,ST CLAIR WEST,20.0
457,COLLEGE AND YONGE,15.0
458,QUEENSWAY AND RONCESVA,12.0
459,OAKWOOD LOOP,11.0
460,LESLIE AND COMMISSIONE,0.0
461,YORK AND KING,18.0
462,QUEEN AND NIAGARA,16.0
463,QUEEN AND SHERBOURNE,16.0
464,LAKESHORE AND 37TH STR,16.0
465,QUEEN AND VICTORIA,34.0
466,MAIN STREET STATION,10.0
467,QUEEN AND UNIVERSITY,12.0
468,DUNDAS AND MCCAUL,14.0
469,KING AND SUDBURY,15.0
470,DUNDAS AND RIVER,12.0
471,QUEEN AND CARROLL,30.0
472,BRAODVIEW STATION,12.0
473,COLLEGE AND BAY,20.0
474,LAKESHORE AND ROYAL YO,0.0
475,DUNDAS AND BAY,12.0
476,QUEEN AND RIVER,12.0
477,QUEENS QUAY AND HARBOU,20.0
478,KING AND STRACHAN,40.0
479,KING AND BATHURST,12.0
480,TORONTO TRANSIT COMMIS,0.0
481,LAKE SHORE AND BURLING,16.0
482,QUEEN AND RONCESVALLES,16.0
483,QUEEN AND BROADVIEW,14.0
484,QUEEN AND BROADVIEW,20.0
485,QUEEN AND BROADVIEW,23.0
486,QUEEN AND OSSINGTON,12.0
487,DUNDAS AND BROADVIEW,16.0
488,DUNDAS WEST STATION,17.0
489,BINGHAM LOOP,20.0
490,MAIN STREET STATION,9.0
491,QUEEN AND PARLIAMENT,12.0
492,QUEEN AND RONCESVALLES,12.0
493,HOWARD PARK AND RONCES,10.0
494,MCCAUL LOOP,40.0
495,CARLTON AND PARLIAMENT,9.0
496,LAKE SHORE AND 13TH,12.0
